,,,,,,,,,,,,,,,,,,,,,,
Asset ID,Asset Name,Category,Brand/Model,Serial / IMEI,Acquisition Date,Acquisition Method (Purchase / Owner Contribution),Original Currency (NGN / USD),Original Cost (Oscar),OM Cost,Proposed/Sold COST(#),Depreciated Value,Depreciated by,Date Added to Oscarmini,Month Count,,Useful Life (Months),Net Book Value (NGN),Status,Disposal Date,Disposal Proceeds,Notes,For Sale
OM-AS-0001,Google Pixel 8 128GB,Smartphones,,,,Amazon,549,"₦880,000.00","₦700,000.00","₦500,000.00","₦689,500.00","₦10,500.00",11/1/2025,3,,6 - 24 months,,Sold,,,,Yes
OM-AS-0002,Google Pixel 8a 128GB,Smartphones,,,,Amazon,399,"₦640,000.00","₦750,000.00","₦500,000.00","₦738,750.00","₦11,250.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0003,Google Pixel 8 Pro 256GB,Smartphones,,,,Amazon,795.95,"₦1,275,000.00","₦1,000,000.00","₦740,000.00","₦985,000.00","₦15,000.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0004,Google Pixel 9 Pro 256GB,Smartphones,,,,Lagos,,"₦1,500,000.00","₦1,300,000.00","₦1,100,000.00","₦1,280,500.00","₦19,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0005,HMD Skyline 256GB,Smartphones,,,,Amazon,500,"₦780,000.00","₦700,000.00","₦400,000.00","₦689,500.00","₦10,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0006,Infinix Note 40 256GB,Smartphones,,,,Review Unit,,"₦20,000.00","₦240,000.00","₦230,000.00","₦236,400.00","₦3,600.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0007,Samsung Galaxy A25 5G 128GB,Smartphones,,,,Abuja,,,"₦250,000.00","₦200,000.00","₦246,250.00","₦3,750.00",11/1/2025,3,,6 - 24 months,,Sold,,,,Yes
OM-AS-0008,Samsung Galaxy A35 5G 128GB,Smartphones,,,,Abuja,,,"₦350,000.00","₦315,000.00","₦344,750.00","₦5,250.00",11/1/2025,3,,6 - 24 months,,Sold,,,,Yes
OM-AS-0009,Samsung Galaxy A55 5G 128GB,Smartphones,,,,Abuja,,,"₦480,000.00","₦430,000.00","₦472,800.00","₦7,200.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0010,TECNO Camon 30 Pro 5G 512GB,Smartphones,,,,Review Unit,,"₦20,000.00","₦420,000.00","₦300,000.00","₦413,700.00","₦6,300.00",11/1/2025,3,,6 - 24 months,,Sold,,,,Yes
OM-AS-0011,TECNO Camon 40 256GB,Smartphones,,,,Review Unit,,"₦20,000.00","₦320,000.00","₦270,000.00","₦315,200.00","₦4,800.00",11/1/2025,3,,6 - 24 months,,Sold,,,,Yes
OM-AS-0012,Redmi Note 13 128GB,Smartphones,,,,Abuja,,,"₦240,000.00","₦205,000.00","₦236,400.00","₦3,600.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0013,Redmi Note 13 Pro 256GB,Smartphones,,,,Abuja,,,"₦330,000.00","₦308,000.00","₦325,050.00","₦4,950.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0014,Redmi Note 13 Pro+ 5G 256GB,Smartphones,,,,Abuja,,,"₦480,000.00","₦440,000.00","₦472,800.00","₦7,200.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0015,Samsung Galaxy Z Fold 7 12GB/512GB,Smartphones,,,,Lagos,2950000,"₦2,950,000.00","₦2,400,000.00","₦2,000,000.00","₦2,364,000.00","₦36,000.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0016,TECNO Spark SLIM 256GB,Smartphones,,,,Review Unit,,"₦20,000.00","₦298,000.00","₦275,000.00","₦293,530.00","₦4,470.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0017,Samsung Galaxy A56 8GB/256GB,Smartphones,,,,Abuja,,,"₦560,000.00","₦500,000.00","₦551,600.00","₦8,400.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0018,Samsung Galaxy A36 6GB/128GB,Smartphones,,,,Abuja,,,"₦440,000.00","₦380,000.00","₦433,400.00","₦6,600.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0019,Xiaomi 15 Ultra 512GB,Smartphones,,,,Qatar,1300,"₦2,020,000.00","₦2,020,000.00","₦1,500,000.00","₦1,989,700.00","₦30,300.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0020,Xiaomi 17 Pro Max 512GB,Smartphones,,,,Lagos,,"₦1,820,000.00","₦1,820,000.00","₦1,500,000.00","₦1,792,700.00","₦27,300.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0021,vivo x200 Pro 12GB/256 GB,Smartphones,,,,Aliexpress,950,"₦1,400,000.00","₦1,250,000.00","₦950,000.00","₦1,231,250.00","₦18,750.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0022,vivo x300 Pro 16GB / 512GB,Smartphones,,,,China,,"₦1,580,000.00","₦1,580,000.00","₦1,400,000.00","₦1,556,300.00","₦23,700.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0023,Samsung Galaxy S25 Ultra 256GB,Smartphones,,,,Lagos,,"₦1,900,000.00","₦1,500,000.00","₦1,300,000.00","₦1,477,500.00","₦22,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0024,Samsung Galaxy S24 Ultra 256GB,Smartphones,,,,Lagos,,"₦1,650,000.00","₦1,100,000.00","₦650,000.00","₦1,083,500.00","₦16,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0025,Samsung Galaxy S25 Plus 256GB,Smartphones,,,,Abuja,,"₦1,450,000.00","₦1,100,000.00","₦1,000,000.00","₦1,083,500.00","₦16,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0026,Redmi 15 8GB/256GB,Smartphones,,,,Review Unit,,"₦20,000.00","₦210,000.00","₦195,000.00","₦206,850.00","₦3,150.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0027,Redmi 15C 8GB/256GB,Smartphones,,,,Abuja,,"₦134,800.00","₦134,800.00","₦134,800.00","₦132,778.00","₦2,022.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0028,Samsung Galaxy A07 4GB/128GB,Smartphones,,,,Abuja,,"₦155,000.00","₦140,000.00","₦135,000.00","₦137,900.00","₦2,100.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0029,Samsung Galaxy A17 8GB/256GB,Smartphones,,,,Abuja,,"₦259,800.00","₦259,800.00","₦259,800.00","₦255,903.00","₦3,897.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0030,Samsung Galaxy A26 6GB/128GB,Smartphones,,,,,,"₦340,000.00","₦320,000.00","₦300,000.00","₦315,200.00","₦4,800.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0031,Samsung Galaxy A16 4GB/128GB,Smartphones,,,,,,"₦235,000.00","₦220,000.00","₦200,000.00","₦216,700.00","₦3,300.00",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0032,Redmi Note 14 8GB/256GB,Smartphones,,,,,,"₦272,000.00","₦250,000.00","₦220,000.00","₦246,250.00","₦3,750.00",11/1/2025,3,,6 - 24 months,,Sold,,,,Yes
OM-AS-0033,Redmi Note 14 Pro + 12GB/256GB,Smartphones,,,,,,"₦620,000.00","₦600,000.00","₦560,000.00","₦591,000.00","₦9,000.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0034,Samsung Galaxy S24 FE 8GB/256GB,Smartphones,,,,,,"₦750,000.00","₦700,000.00","₦600,000.00","₦689,500.00","₦10,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0035,TECNO Spark 40 4GB/128GB,Smartphones,,,,Abuja,,"₦139,800.00","₦139,800.00","₦139,800.00","₦137,703.00","₦2,097.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0036,Infinix Hot 60i 4GB/128GB,Smartphones,,,,Abuja,,"₦139,900.00","₦139,900.00","₦139,900.00","₦137,801.50","₦2,098.50",11/1/2025,3,,6 - 24 months,,Active,,,,Yes
OM-AS-0037,iPhone 17 Pro Max 512GB,Smartphones,,,,Apple store Canada,1640,"₦2,560,000.00","₦2,300,000.00","₦2,200,000.00","₦2,265,500.00","₦34,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0038,Redmi Note 15 8GB/256GB,Smartphones,,,,Abuja,,"₦299,900.00","₦299,900.00",,"₦295,401.50","₦4,498.50",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0039,Redmi Note 15 Pro 8GB/256GB,Smartphones,,,23rd Jan 2026,Abuja,,"₦399,800.00","₦399,800.00",,"₦393,803.00","₦5,997.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0040,Redmi Note 15 Pro Plus 8GB/256GB,Smartphones,,,3rd Feb 2026,Abuja,,"₦628,300.00","₦628,300.00",,"₦618,875.50","₦9,424.50",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0041,Galaxy Tab S10,Smartphones,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0042,,Smartphones,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0043,,Smartphones,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0044,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0045,PC Build,Desktops,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0046,Server Build,Desktops,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0047,M4 Mac Mini,Desktops,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0048,DJI Osmo Pocket 3,Cameras,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0049,Sony FX6,Cameras,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,No
OM-AS-0050,Sony A7IV,Cameras,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0051,Sony A7S III,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0052,Sigma 24 - 70,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0053,Sigma 24 - 70,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0054,Tamron 28-75,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0055,Tamron 14-28,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0056,Apogee Symphony Sound Card,Audio Equipment,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0057,Stream Deck XL,Studio Accessories,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0058,Strea Deck,Studio Accessories,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0059,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,,,Active,,,,
OM-AS-0060,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,,,Active,,,,
OM-AS-0061,Senheisser MKH416,Audio Equipment,,,,,1000,"₦1,600,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0062,Audix Boom Microphone,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0063,Senheisser G2,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0064,Senheisser G3,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0065,Samson C1,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0066,RodeCaster Pro,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0067,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0068,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0069,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0070,Rod Pod Mic,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0071,Dell U2720 Monitor,Monitors & Displays,,,,,700,"₦900,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0072,Dell U2720 Monitor,Monitors & Displays,,,,,700,"₦900,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0073,DJI RS4 Pro Gimbal,Gimbals & Sliders,,,6/1/2024,,1099,"₦1,700,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0074,"Mi 34"" Gaming Monitor",Monitors & Displays,,,,,400,"₦600,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0075,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,,,Active,,,,
OM-AS-0076,Manfrotto Tripod Stand,Studio Accessories,,,,,,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0077,Manfrotto Tripod Stand,Studio Accessories,,,,,,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0078,Manfrotto Tripod Stand,Studio Accessories,,,,,,"₦150,000.00",,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0079,JIEPAI JP-V12 Tripod,Studio Accessories,,,,,,"₦600,000.00",,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0080,Carbon Fibre Tripod,Studio Accessories,,,,,500,"₦800,000.00",,,,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0081,,,,,,,,,,,,₦0.00,11/1/2025,3,,,,Active,,,,
